Date,Topic,Title of Headline Roundup,url_story,left_story_title,left_story_url,left_story_source,left_story_leaning,left_story_text,center_story_title,center_story_url,center_story_source,center_story_leaning,center_story_text,right_story_title,right_story_url,right_story_source,right_story_leaning,right_story_text
2021-11-23,Justice,Ghislaine Maxwell Trial Set to Begin Next Week,/story/ghislaine-maxwell-trial-set-begin-next-week,Ghislaine Maxwell's Trial Opens a New Chapter in Heinous Jeffrey Epstein Saga,https://www.vanityfair.com/news/2021/11/ghislaine-maxwells-trial-opens-a-new-chapter-in-heinous-jeffrey-epstein-saga,Vanity Fair,Lean Left,"
For those following the Jeffrey Epstein story, the past two years have felt like driving around a curve that never ends. Answers to the key questions at the heart of the vast scandal have seemed tantalizingly close and frustratingly out of reach. How did the late pedophile earn his estimated half-billion-dollar fortune? Which powerful men participated in his sex-trafficking ring? What about all those surveillance videos from inside his homes? On November 29, lawyers are set to deliver opening statements in the highly anticipated trial of Epstein’s alleged accomplice Ghislaine Maxwell. For... ",Ghislaine Maxwell: Brother Ian says she will not get fair hearing at trial,https://www.bbc.com/news/world-us-canada-59377699,BBC News,Center,"
Ghislaine Maxwell's brother, Ian, has said he doubts his sister will get a fair hearing at her trial on sex trafficking and other charges which is due to start next week. Ms Maxwell, the daughter of the late media mogul Robert Maxwell, has been accused of trafficking minors for her former lover Jeffrey Epstein. She has been in a New York jail since her arrest in July 2020. The former socialite has pleaded not guilty to all charges. ""I think my sister's probably relieved finally that it is starting because... ",Ghislaine Maxwell attempts to obtain settlement documents with victims of Epstein,https://www.washingtonexaminer.com/news/ghislaine-maxwell-attempts-to-obtain-settlement-documents-with-victims-of-epstein,Washington Examiner,Lean Right,"
Ghislaine Maxwell, a known associate of Jeffrey Epstein, is attempting to gain access to documents in a settlement fund for the convicted pedophile's victims. Jordana Feldman, the administrator of the Epstein Victims’ Compensation Program, filed a letter in court Friday obtained by the Daily Beast that said she intends to ""quash defendant Maxwell’s subpoena directed to her.” The document request comes two weeks before Maxwell's criminal trial which aims to shed light on the role she allegedly played in Epstein's sex-trafficking scheme. According to her accusers, she was the procurer of the... "
2021-11-22,Banking and Finance,Biden to Nominate Jerome Powell for 2nd Fed Chair Term,/story/biden-nominate-jerome-powell-2nd-fed-chair-term,Biden taps Powell for second term as Fed chair in sign of continuity at central bank,https://www.washingtonpost.com/us-policy/2021/11/22/powell-fed-chair-brainard-biden/,Washington Post,Lean Left,"
During his first term as Federal Reserve chair, Jerome H. Powell faced blistering political pressure and an enormous economic crisis. He has confronted an ethics scandal within the central bank and the steepest inflation in more than 30 years. Despite all that, or perhaps because of it, President Biden on Monday announced he was nominating the 68-year-old Fed chairman for another four-year term. Democrats and Republicans gleefully offered their support. Powell somehow emerged stronger than ever from the economic, domestic and political convulsions of 2020. He steered the Fed through wild... ",Biden to Nominate Jerome Powell for Second Term as Federal Reserve Chairman,https://www.wsj.com/articles/biden-will-tap-jerome-powell-for-new-term-as-fed-chairman-11637589600,Wall Street Journal (News),Center,"
President Biden said he would nominate Federal Reserve Chairman Jerome Powell to a second term leading the central bank, opting for continuity in U.S. economic policy despite pushback from some Democrats who wanted someone tougher on bank regulations and climate change. Mr. Biden said he would also nominate Fed governor Lael Brainard as vice chairwoman of the central bank’s board of governors. Prominent liberals like Sen. Elizabeth Warren (D., Mass.) had warned the president against picking Mr. Powell, and progressive groups mounted a last-ditch campaign to pressure the president to tap... ","Biden taps Jerome Powell for second term as Fed chair, spurning progressives",https://www.foxbusiness.com/economy/biden-jerome-powell-second-federal-reserve-term,Fox Business,Lean Right,"
President Biden announced Monday that he will nominate Jerome Powell to a second term as chairman of the Federal Reserve, signaling that he believes the battle-tested central bank chief, who navigated the U.S. economy through the depths of the worst recession in nearly a century, is the best person for one of the most high-stakes jobs in the world. The announcement ends months of speculation over whether Biden would stick with Powell, a Republican nominated by former President Donald Trump in 2017, or attempt to reshape the central bank by tapping Lael Brainard, the sole Democrat... "
2021-11-04,Elections,Senate Republicans Block John Lewis Voting Rights Act Proposed By Democrats,/story/senate-republicans-block-john-lewis-voting-rights-act-proposed-democrats,Republicans Block a Second Voting Rights Bill in the Senate,https://www.nytimes.com/2021/11/03/us/politics/senate-republicans-voting-rights-act.html,New York Times (News),Lean Left,"
Senate Republicans on Wednesday blocked legislation to restore parts of the landmark Voting Rights Act weakened by Supreme Court rulings, making it the second major voting bill to be derailed by a G.O.P. filibuster in the past two weeks. Despite receiving majority support, the John Lewis Voting Rights Advancement Act, named for the civil rights activist and congressman who died last year, fell nine votes short of the 60 required to advance over Republican opposition. In the aftermath of the defeat, Senate Democrats said they would intensify internal discussions about altering filibuster... ",U.S. Senate Democrats fail in latest bid to debate voting rights bill,https://www.reuters.com/world/us/us-senate-democrats-return-voting-rights-with-eye-filibuster-2021-11-03/,Reuters,Center,"
U.S. Senate Democrats on Wednesday failed to advance voting-rights legislation for the fourth time this year due to overwhelming Republican opposition, raising potential ramifications for the 2022 congressional and 2024 presidential elections. The Senate voted 50-49 in favor of starting debate on the ""John Lewis Voting Rights Advancement Act"" but fell short of the 60 votes needed under a procedural blocking maneuver known as a filibuster. Named for the late civil rights activist and congressman, the legislation would restore state voting requirements to prohibit racial discrimination that were struck down... ",Senate GOP blocks federal election law debate for fourth time this year,https://nypost.com/2021/11/04/senate-gop-blocks-dems-bid-on-voting-bill-to-revamp-us-election-laws/,New York Post (News),Lean Right,"
Senate Democrats tried and failed once again Wednesday to begin debate on a bill that would radically revamp America’s election laws, as all but two Republicans voted to block the measure from coming to the chamber floor. Just 50 senators, including Lisa Murkowski (R-Ak.), voted to open debate on the legislation, known as the John R. Lewis Voting Rights Advancement Act. The bill needed 60 votes to clear the Senate’s legislative filibuster. Forty-nine senators voted to block debate, with Republican Mike Rounds of South Dakota not recording a vote. Senate Majority Leader... "
2021-11-02,Climate Change,World Leaders Pledge to Cut Methane Emissions by 30%,/story/world-leaders-pledge-cut-methane-emissions-30,"Biden unveils new rules to curb methane, a potent greenhouse gas, from oil and gas operations",https://www.washingtonpost.com/climate-environment/2021/11/02/biden-methane-rule-epa/,Washington Post,Lean Left,"
More than 90 countries have signed the Global Methane Pledge, which requires a 30 percent cut in methane emissions by 2030, one of the Biden administration’s priorities for the current climate summit in Glasgow. The pledge’s signatories now include six of the 10 largest methane emitters and about 45 percent of global methane emissions. The Biden administration also unveiled a sweeping set of domestic policies Tuesday to cut emissions of methane from oil and gas operations across the United States. The proposals, announced at the U.N. climate summit known as COP26, represent one... ",Leaders at global climate talks pledge to cut methane and save forests,https://www.reuters.com/world/global-climate-talks-deliver-moves-cut-methane-deforestation-2021-11-02/,Reuters,Center,"
Leaders at the COP26 global climate conference in Glasgow have pledged to stop deforestation by the end of the decade and slash emissions of the potent greenhouse gas methane to help slow climate change. The inability of major powers so far to agree more broadly on rapid reductions in the use of fossil fuels, the main cause of manmade global warming, has upset the poorer, smaller countries likely to suffer its worst effects. Surangel Whipps Jr, president of Palau, a Pacific state of 500 low-lying islands under threat from rising sea levels,... ","Biden leads global pledge at conference to end deforestation, cut methane",https://nypost.com/2021/11/02/biden-leads-global-pledge-to-end-deforestation-cut-methane/,New York Post (News),Lean Right,"
President Biden on Tuesday led about half of the world’s countries in committing to stop deforestation and reduce methane emissions — seeking foreign policy wins at a climate conference in Scotland amid a stalled agenda at home. More than 100 countries pledged to end deforestation by 2030 and more than 80 countries agreed to cut methane emissions by 30 percent by 2030. But major countries sat out the methane pledge, including China, which is the world’s top methane emitter by far. Of the top six methane emitters, only the US signed on — with India, Indonesia, Iran and... "
2021-10-15,World,Stabbing of British Lawmaker Investigated as Possible Terrorist Attack,/story/stabbing-british-lawmaker-investigated-possible-terrorist-attack,David Amess: Counterterror police take over investigation into death of Tory MP,https://www.independent.co.uk/news/uk/crime/david-amess-stabbing-counter-terror-b1939323.html,The Independent,Lean Left,"
Counterterror police are investigating the death of the Conservative MP Sir David Amess, who was stabbed while meeting constituents at a routine public surgery on Friday. The 69-year-old suffered multiple injuries in the attack at Belfairs Methodist Church in Leigh-on-Sea. Essex Police said a 25-year-old man had been arrested on suspicion of murder, and that counterterror detectives were investigating his motivations. The Independent understands that the suspect is a British national of Somali origin, and the killing is being treated at this point as a probable Islamist terror attack. The investigation is also... ",Sir David Amess: Conservative MP stabbed to death,https://www.bbc.com/news/uk-58930593,BBC News,Center,"
Conservative MP Sir David Amess has died after being stabbed multiple times at his constituency surgery in Essex. Police said a 25-year-old man was arrested on suspicion of murder after the attack at a church in Leigh-on-Sea. They recovered a knife and are not looking for anyone else in connection with the incident. A counter terrorism team will lead the investigation. Boris Johnson has spoken of his shock and sadness at the loss of ""one of the kindest"" people in politics. Home Secretary Priti Patel has asked all police forces... ",UK politician David Amess dead after stabbing in possible terrorism case,https://nypost.com/2021/10/15/uk-lawmaker-david-amess-reportedly-stabbed-multiple-times/,New York Post (News),Lean Right,"
A British politician was stabbed to death Friday by a man who stormed into a church where the MP was meeting constituents — with police not ruling out terrorism.
David Amess, a lawmaker in British Prime Minister Boris Johnson’s Conservative Party, was killed by a man who was arrested as armed police swooped into the church in Essex around midday, officials said.
“He was stabbed several times,” John Lamb, a local councilor at the scene, told Reuters of the 69-year-old member of Parliament.
"
2021-08-20,Joe Biden,Biden Pledges to Evacuate All Americans and Afghan Allies from Kabul,/story/biden-pledges-evacuate-all-americans-and-afghan-allies-kabul,‘We’re making the same commitment’: Biden vows to evacuate all Afghan allies seeking safety from the Taliban,https://www.politico.com/news/2021/08/20/white-house-number-of-americans-in-afghanistan-506355,Politico,Lean Left,"
President Joe Biden on Friday vowed to evacuate all Afghan allies of the United States seeking to flee Afghanistan, extending the same commitment he made earlier this week to Americans still stranded in the Taliban-controlled country.
“There’s no one more important than bringing American citizens out, I acknowledge that. But they’re equally important, almost,” Biden told reporters following an address at the White House, referring to the thousands of interpreters and other Afghan personnel who aided the two-decade U.S. war effort.
","Biden vows to complete Afghan evacuation, but admits risks",https://thehill.com/homenews/administration/568778-biden-vows-to-complete-afghan-evacuation-but-admits-risks?rl=1,The Hill,Center,"
President Biden on Friday sought to assure the public that his administration would do everything possible to evacuate American citizens and Afghans who assisted U.S. forces in Afghanistan, while acknowledging the mission faced risks and the situation was unpredictable. In remarks from the East Room of the White House, Biden defended his administration’s withdrawal from Afghanistan and insisted that officials have made progress in evacuation efforts. “Make no mistake, this evacuation mission is dangerous. It involves risks to our armed forces and it's being conducted under difficult circumstances,” Biden said. “I... ",Biden contradicted by Pentagon on claims al Qaeda ‘gone’ and Taliban letting Americans reach Kabul airport,https://nypost.com/2021/08/20/biden-stumbles-with-afghan-questions-says-americans-can-reach-kabul/,New York Post (News),Lean Right,"
President Biden on Friday claimed that al-Qaeda is “gone” from Afghanistan and that the Taliban is letting Americans reach Kabul’s airport, before Pentagon leaders contradicted the commander in chief on both claims. Biden stumbled repeatedly when taking his first questions from reporters on Afghanistan’s fall to the Taliban — also claiming that US allies were not displeased by the chaotic US pullout, despite rare public rebukes. “What interest do we have in Afghanistan at this point with al Qaeda gone? We went to Afghanistan for the express purpose of getting rid of... "
2021-08-05,Coronavirus,Florida Gov. Ron DeSantis Criticizes Biden on COVID-19,/story/florida-gov-ron-desantis-criticizes-biden-covid-19,Florida’s Ron DeSantis in war of words with Joe Biden over Covid-19 spread,https://www.independent.co.uk/news/world/americas/us-politics/desantis-biden-covid-florida-b1897068.html,The Independent,Lean Left,"
Florida’s governor is sounding off about President Joe Biden’s criticism of his handling of the Covid-19 pandemic, even as his state is shattering hospitalisation records. Ron DeSantis responded to several comments from both Mr Biden and members of the White House press team, who have aimed criticism at his state and others where rates of Covid-19 are surging and vaccination rates are low. ""Joe Biden has taken to himself to single out Florida over Covid-19,” Mr DeSantis claimed at a news conference, according to local media. Joining a chorus of Republicans... ",The Memo: DeSantis-Biden sniping underscores COVID-19 frustration,https://thehill.com/homenews/administration/566426-the-memo-desantis-biden-sniping-underscores-covid-19-frustration,The Hill,Center,"
A nation that had begun to celebrate victory in the exhausting fight against the coronavirus is starting to realize the end is not in sight after all. As the light at the end of the tunnel recedes, the big political question is who will be punished by a frustrated public.  Daily new COVID-19 cases have risen by more than 50 percent in the last week alone. Major cities including New York and Washington have tightened restrictions. Meanwhile, the start of the new school year is looming — a pivotal moment... ",DeSantis fires back at Biden: 'Every COVID variant on this planet' is coming through his open border,https://www.foxnews.com/media/desantis-biden-covid-variant-open-border,Fox News Digital,Right,"
Florida Republican Gov. Ron DeSantis responded Wednesday to a White House attack from President Biden, who demanded he and Texas Gov. Greg Abbott ""help or get out of the way"" of administration efforts to mitigate the coronavirus. On ""The Ingraham Angle"", DeSantis said Biden is being disingenuous in blaming conservative governors who have refused to engage in widespread socioeconomic restrictions in regard to COVID mitigation, because the president continues to allow throngs of COVID-infected migrants to surge into Texas and in several cases be flown or bused to many states across the country – often without notifying... "
2021-07-22,Politics,Pelosi Says Jan. 6 Committee Will Continue Despite GOP 'Antics',/story/pelosi-says-jan-6-committee-will-continue-despite-gop-antics,Pelosi says Jan. 6 panel to move ahead without GOP’s choices,https://apnews.com/article/joe-biden-government-and-politics-capitol-siege-93956045f7ab96c331a1ad515e3eca19,Associated Press Fact Check,Lean Left,"
House Speaker Nancy Pelosi says a committee investigating the Jan. 6 Capitol insurrection “will do the job it set out to do” despite Republicans’ vow to boycott the probe. House GOP Leader Kevin McCarthy said on Wednesday that Republicans won’t participate after Pelosi rejected two of the Republicans he chose to sit on the panel, Reps. Jim Banks of Indiana and Jim Jordan of Ohio. Pelosi made clear on Thursday that she won’t relent, telling reporters that the two men “took actions that made it ridiculous to put them on... ",Pelosi says GOP antics won't stop Jan. 6 panel's work,https://thehill.com/homenews/house/564308-pelosi-says-gop-antics-wont-stop-jan-6-panels-work,The Hill,Center,"
House Speaker Nancy Pelosi (D-Calif.) on Thursday said the panel looking into the Jan. 6 attack on the Capitol “will not let"" GOP ""antics stand in the way” of the investigation, offering her first detailed remarks on her rejection of two Republican lawmakers for the committee. “It's my responsibility as Speaker of the House to make sure we get to the truth on this, and we will not let their antics stand in the way of that,” Pelosi said at a press conference on Thursday. Drama unfolded on Wednesday after Pelosi announced... ",Pelosi firm on booting pro-Trump GOP from Jan. 6 riot committee,https://www.washingtonexaminer.com/news/congress-pelosi-doubles-down-on-booting-gop-from-riot-panel,Washington Examiner,Lean Right,"
Speaker Nancy Pelosi won’t be reconsidering an unprecedented decision to block two Republican appointees from a special committee tasked with investigating the Jan. 6 riot at the Capitol, even though it prompted GOP leaders to walk away from participating entirely. The California Democrat told reporters Thursday that Reps. Jim Jordan of Ohio and Jim Banks of Indiana have made statements that would jeopardize the integrity of the investigation. The comments counter claims by the GOP that Pelosi and Democrats want to block Republicans from investigating serious security lapses in the Capitol on... "
2021-07-12,Public Health,FDA Warns Johnson & Johnson Vaccine Linked to Risk of Guillain-Barré Syndrome,/story/fda-warns-johnson-johnson-vaccine-linked-risk-guillain-barr-syndrome,FDA warns of potential rare nerve complication with Johnson & Johnson coronavirus vaccine,https://www.cnn.com/2021/07/12/health/johnson-vaccine-guillain-barre-syndrome-fda/index.html,CNN Digital,Lean Left,"
The US Food and Drug Administration updated the label on Johnson & Johnson's coronavirus vaccine Monday to warn of the possible increased risk of a rare neurological complication known as Guillain-Barré syndrome. While the FDA said it had not established the vaccine could cause the syndrome, it noted an increase in reports of the sometimes paralyzing condition. ""Today, the FDA is announcing revisions to the vaccine recipient and vaccination provider fact sheets for the Johnson & Johnson (Janssen) COVID-19 Vaccine to include information pertaining to an observed increased risk of Guillain-Barré Syndrome... ",U.S. puts new warning on J&J coronavirus vaccine for autoimmune disorder,https://www.reuters.com/business/healthcare-pharmaceuticals/us-announce-new-warning-jj-coronavirus-vaccine-autoimmune-disorder-washington-2021-07-12/,Reuters,Center,"
The U.S. Food and Drug Administration on Monday added a warning to the fact sheet for Johnson & Johnson's (JNJ.N) COVID-19 vaccine saying that data suggests there is an increased risk of a rare neurological disorder in the six weeks after inoculation. In a letter to the company, the FDA classified the chances of getting Guillain-Barré syndrome (GBS) after vaccination as being ""very low."" Still, it said J&J vaccine recipients should seek medical attention if they have symptoms including weakness or tingling sensations, difficulty walking or difficulty with facial movements. ",New warning to be added to J&J vaccine over rare side effect,https://nypost.com/2021/07/12/new-warning-to-be-added-to-jj-vaccine-over-rare-side-effect/,New York Post (News),Lean Right,"
The Johnson & Johnson vaccine will soon have a new warning from the Food and Drug Administration after the shot was linked to a rare but serious side effect in a handful of patients, it was revealed Monday. 
The side effect, Guillain-Barré syndrome — a condition that occurs when the immune system attacks the body’s nerves — has been detected in about 100 people after 12.8 million jabs of the single-dose shot were administered, the Centers for Disease Control and Prevention told the Washington Post. 
"
2021-07-08,Politics,"HHS Secretary Becerra Says Comments About ""Government's Business"" and Vaccination Status Were Taken Out of Context",/story/hhs-secretary-becerra-says-comments-about-governments-business-and-vaccination-status-were,HHS chief says his vaccine comments are being taken ‘wildly out of context’,https://www.politico.com/news/2021/07/08/hhs-chief-federal-government-vaccinations-498789,Politico,Lean Left,"
Health and Human Services Secretary Xavier Becerra on Thursday sought to clarify his argument that “it is absolutely the government’s business” to know which Americans have been vaccinated against the coronavirus, after facing backlash from Republicans in Congress.
In a tweet, the federal government’s top health official said his comments from earlier in the day had been “taken wildly out of context.”
",HHS head: 'Absolutely the government's business' to know people's vaccine status,https://thehill.com/homenews/administration/562026-hhs-secretary-it-is-absolutely-the-governments-business-to-know,The Hill,Center,"
Health and Human Services (HHS) Secretary Xavier Becerra declared Thursday that ""it is absolutely the government's business"" to know people's vaccination status, arguing the federal government has a vested interest in keeping Americans safe.
“The federal government has spent trillions of dollars to try and keep Americans alive during this pandemic,"" Becerra said on CNN's ""New Day."" ""So it is absolutely the government's business, it is taxpayers' business, if we have to continue to spend money to try and keep people from contracting COVID."" 
",HHS Secretary Becerra: 'Absolutely the government's business' to know which Americans haven't been vaccinated,https://www.foxnews.com/media/xavier-becerra-hhs-absolutely-government-business-americans-not-vaccinated,Fox News Digital,Right,"
Health and Human Services Secretary Xavier Becerra said Thursday it was ""absolutely the government's business"" to know which Americans haven't been vaccinated yet against the coronavirus. Responding to GOP criticisms of the Biden administration's planned ""door-to-door"" campaign to encourage unvaccinated Americans to inoculate themselves, Becerra told CNN the government has had to ""spend trillions of dollars to try to keep Americans alive during this pandemic."" ""So it is absolutely the government's business, it is taxpayers' business, if we have to continue to spend money to try to keep people from contracting COVID and helping reopen... "
2021-07-08,Economy and Jobs,"Jobless Claims Rise Slightly to 373,000",/story/jobless-claims-rise-slightly-373000,"US jobless claims tick up to 373,000 from a pandemic low",https://abcnews.go.com/US/wireStory/us-jobless-claims-tick-373000-pandemic-low-78730454?cid=clicksource_4380645_1_heads_hero_live_headlines_hed,ABC News (Online),Lean Left,"
The number of Americans filing for unemployment benefits rose slightly last week even while the economy and the job market appear to be rebounding from the coronavirus recession with sustained energy. Thursday's report from the Labor Department showed that jobless claims increased by 2,000 from the previous week to 373,000. Weekly applications, which generally track the pace of layoffs, have fallen steadily this year from more than 900,000 at the start of the year. The four-week average of applications, which smooths out week-to-week volatility, is now 394,500 — the lowest such level... ","U.S. Jobless Claims Edged Up to 373,000 Last Week",https://www.wsj.com/articles/unemployment-benefits-weekly-jobless-claims-07-08-2021-11625688074?mod=hp_lead_pos3,Wall Street Journal (News),Center,"
Jobless claims held nearly steady last week, interrupting a downward trend and showing the labor market’s recovery remains uneven, at a time when many states are discouraging workers from tapping jobless assistance. Initial unemployment claims, a proxy for layoffs, rose by 2,000 last week to a seasonally adjusted 373,000, the Labor Department said Thursday. The previous week’s figure was revised up to 371,000. The four-week moving average, which smooths out volatility in the weekly figures, was 394,500, the lowest reading since March 2020. The recent level of new claims is well... ",Initial jobless claims unexpectedly rise off pandemic lows,https://www.foxbusiness.com/economy/jobless-claims-unexpectedly-rise-off-pandemic-lows,Fox Business,Lean Right,"
The number of Americans filing for first-time unemployment benefits last week unexpectedly rose off the lowest levels since the outbreak of the COVID-19 pandemic. Data released Thursday by the Labor Department showed 373,000 Americans filed for first-time jobless benefits in the week ended July 3, up from an upwardly revised 371,000 filings the week prior. Analysts surveyed by Refinitiv expected a decline to 350,000 filings. Despite last week's small increase the number of initial jobless claims have been more than halved this year after reaching a peak of 904,000 in January. Almost 6 million... "
2021-07-07,Donald Trump,"Trump Sues Facebook, Twitter and Google",/story/trump-sues-facebook-twitter-and-google,Trump is suing Mark Zuckerberg and Jack Dorsey. Here's why they shouldn't worry,https://www.cnn.com/2021/07/07/tech/trump-zuckerberg-dorsey-lawsuit/index.html,CNN Business,Lean Left,"
Former President Donald Trump on Wednesday filed class-action lawsuits targeting Facebook and its CEO Mark Zuckerberg and Twitter and its CEO Jack Dorsey, as well as YouTube and its parent company's CEO Sundar Pichai, in a Hail Mary move after being removed from their platforms. Courts have typically dismissed similar suits, and these are likely doomed from the start as well. The announcement about the lawsuits comes after the companies removed Trump's access to their platforms in the aftermath of the January 6 riot on Capitol Hill. Twitter banned Trump... ","Trump sues Twitter, Facebook, Google and CEOs Dorsey, Zuckerberg, Pichai",https://www.cnbc.com/2021/07/07/trump-says-he-is-suing-facebook-google-twitter-dorsey-zuckerberg-pichai.html,CNBC,Center,"
Former President Donald Trump said Wednesday he is suing Facebook, Twitter and Google, as well as their respective CEOs Mark Zuckerberg, Jack Dorsey and Sundar Pichai. Trump, who has a history of threatening legal action but not always following through, made the announcement at his golf club in Bedminster, New Jersey, at 11 a.m. ET alongside two leaders from America First Policy Institute, the pro-Trump nonprofit group that is supporting the lawsuits. The three related lawsuits, filed in federal court in Florida, allege the tech giants have violated plaintiffs’ First Amendments rights. The lawsuits were unveiled just... ","Trump to sue Facebook, Twitter, Google over alleged censorship, says they've 'ceased to be private'",https://www.foxnews.com/politics/trump-to-sue-facebook-twitter-google-over-alleged-censorship,Fox News Digital,Right,"
Former President Donald Trump on Wednesday announced that he will lead a lawsuit over alleged censorship against Twitter, Facebook and Google -- three tech companies that removed him from their platforms after the Jan. 6 attack on the Capitol by a mob of his supporters.  The lawsuit will be a class-action, with Trump as the lead plaintiff, claiming that he's been censored by the companies. He spoke about the legal action from his golf club in Bedminster, New Jersey.  ""I stand before you this morning to announce a very important... development for our freedom and... "
2021-07-02,Donald Trump,Perspectives: Charges Against Trump Organization,/story/perspectives-charges-against-trump-organization,Why the Law Is Strong Enough to Take On Donald Trump,https://www.nytimes.com/2021/07/01/opinion/trump-organization-indictment-charges.html,New York Times (Opinion),Left,"
A 15-count indictment for tax fraud and other charges filed in New York on Thursday against the Trump Organization and its longtime chief financial officer, Allen Weisselberg, has already stimulated as much hand-wringing as satisfaction from those who have called for accountability for Donald Trump. Some express concern that Mr. Trump himself was not charged and may never be. Others note that these are “only” state tax fraud counts against his business and an associate — rather than bold federal action against Mr. Trump himself by the Justice Department. As former federal... ",The Trump Organization Prosecution: What Is in the Charges?,https://www.wsj.com/articles/the-trump-organization-prosecution-what-is-in-the-charges-11625181211,Wall Street Journal (News),Center,"
The case that New York prosecutors have leveled against former President Donald Trump’s business empire and the company’s finance chief, Allen Weisselberg, is a reminder that corporations not only share rights enjoyed by individuals but they can also be indicted like people too. The 15-count indictment made public Thursday charges the company and its longtime chief financial officer with evading payroll and income taxes over a 16-year stretch by paying off-the-book benefits to Mr. Weisselberg and other executives. It alleges that the company skimmed payroll taxes by concealing compensation—in the form of... ",Cy Vance’s Trump case is straight from a banana republic — punish your political enemies,https://nypost.com/2021/07/01/cy-vances-trump-case-is-straight-from-a-banana-republic/,New York Post (Opinion),Right,"
Donald Trump has long claimed that investigations of him are a partisan “witch hunt.” Manhattan DA Cy Vance seems determined to make Trump’s point for him by indicting the Trump Organization along with its chief financial officer, Allen Weisselberg. The 15-count indictment throws a kitchen sink of charges, including grand larceny, conspiracy, scheme to defraud,and tax fraud. But the whole thing comes down to paying perks to Weisselberg — such as his parking garage fees, tuition for family members and reimbursement of holiday gratuities — and not reporting them as taxable income, or reporting... "
2021-06-07,Politics,"Harris Visits Guatemala, Tells Potential Migrants 'Do Not Come'",/story/harris-visits-guatemala-tells-potential-migrants-do-not-come," Harris in Guatemala discourages would-be migrants: ""Do not come""",https://www.cbsnews.com/news/vice-president-kamala-harris-travels-to-guatemala-first-foreign-trip/,CBS News (Online),Lean Left,"
Vice President Kamala Harris discouraged would-be migrants from making the trek to the United States during her trip to Guatemala on Monday. It's her first trip abroad as vice president, and she's tasked with leading U.S. diplomatic efforts in the region to stem the flow of migrants to the southern border.  ""I want to be clear to folks in this region who are thinking about making that dangerous trek to the United States-Mexico border,"" Harris said during a press conference with Guatemalan President Alejandro Giammattei Monday. ""Do not come. Do... ","Harris has ‘robust’ Guatemala graft talks, tells migrants: ‘do not come’",https://www.reuters.com/world/americas/harris-meet-guatemalan-leader-steps-tackle-human-trafficking-graft-expected-2021-06-07/,Reuters,Center,"
U.S. Vice President Kamala Harris said on Monday she had “robust” talks with Guatemalan President Alejandro Giammattei on the need to fight corruption to help deter undocumented immigration from Central America to the United States. At a news conference with Giammattei, Harris said a U.S. task force would work with local prosecutors to punish corrupt actors in the region. The Biden administration has identified corruption as an underlying cause of the poverty and violence driving record numbers of Central Americans to go to the United States In the build up... ",Kamala Harris to Potential Migrants: ‘Do Not Come’,https://www.nationalreview.com/news/kamala-harriss-message-to-potential-migrants-do-not-come/,National Review (News),Lean Right,"
During a joint press conference with Guatemala President Alejandro Giammattei, Vice President Kamala Harris had message for Central Americans considering illegally migrating to the United States: “Do not come.” “We will discourage illegal migration,” she commented. “The United States will continue to enforce our laws and secure our border.”  “There are legal methods by which migration can and should occur,” Harris added. The Biden administration has taken a tepid rhetorical stance on border enforcement and has rolled back a number of Trump-era policies, prompting a massive influx of unauthorized migrants, including unaccompanied minors,... "
2021-05-31,General News,Perspectives: Memorial Day 2021,/story/perspectives-memorial-day-2021,Opinion: What a true Memorial Day celebration looks like,https://www.washingtonpost.com/opinions/what-a-true-memorial-day-celebration-looks-like/2021/05/28/8da60daa-bf03-11eb-83e3-0ca705a96ba4_story.html,Washington Post,Lean Left,"
While it's unlikely anyone can say with certainty what were the origins of America’s Memorial Day, it is generally accepted that the custom of decorating graves in remembrance of the war dead began after the Civil War, among families of fallen Confederate soldiers. But the historian David W. Blight makes an argument that the first such observance was in fact the work of newly freed Black people seeking to honor the 40,000 African American soldiers who died in the war. The tribute consisted of elaborate ceremonies, parades, prayers, scripture readings and speeches. The Black soldiers deserved the... ","Some veterans’ families delayed memorial services during COVID-19 pandemic. On Memorial Day, risk is reopening ‘old wounds.’",https://www.chicagotribune.com/coronavirus/ct-memorial-day-veterans-covid-deaths-20210531-kfcqvgg56vc2xepcn7gn7pbfuq-story.html,Chicago Tribune,Center,"
Willie Lathon Jr., a U.S. Army veteran who served in the Vietnam War, died June 3, less than three months into the pandemic. He was buried alongside other veterans and their families in Abraham Lincoln National Cemetery in Elwood. Because of the coronavirus pandemic, the only military honor provided to Lathon’s family was folding and presenting them with an American flag. “I gave his daughter the flag,” said his wife, Sheraine Lathon, 69, of Richton Park. “Then I offered him up to the Lord. That was it. It was about... ",Why Honoring Those Who Sacrificed Their Lives For Our Nation Should Never Be Overlooked,https://thefederalist.com/2021/05/31/why-honoring-those-who-sacrificed-their-lives-for-our-nation-should-never-be-overlooked/,The Federalist,Right,"
On this episode of The Federalist Radio Hour, Emily Domenech joins Culture Editor Emily Jashinsky to discuss how she banded with the Travis Manion Foundation to found The Honor Project and encourage Americans to gather to recognize the fallen on Memorial Day. “Part of what makes The Honor Project really magical is it’s a stranger recognizing a stranger from far away and honoring their names, saying their name, sharing it with the rest of the world, and giving a moment to remember that person,” Domenech said. “I think most people, most civilians,... "
